Client_ID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Years_At_Job,Annual_Income,Credit_Score,Debt_To_Income_Ratio,Loan_Amount,Loan_Term_Months,Interest_Rate,Previous_Defaults,Loan_Purpose,Collateral_Provided,Late_Payments_6m,Loan_Status,Default_Risk
35,35,Female,Married,Master,Self-employed,11,98768,446,0.46,16560,12,4.39,1,Education,No,2,Rejected,Medium
36,67,Male,Single,High School,Unemployed,26,138544,789,0.5,37463,24,8.02,1,Business,Yes,4,Rejected,Low
37,64,Female,Married,Bachelor,Unemployed,29,55903,777,0.52,36663,12,12.13,0,Car,Yes,1,Approved,Medium
38,23,Male,Married,High School,Unemployed,33,92489,458,0.59,8170,60,5.8,4,Personal,No,4,Rejected,Low
39,57,Female,Widowed,High School,Unemployed,36,52093,683,0.5,38123,12,2.57,1,Car,No,0,Rejected,Low
40,27,Male,Divorced,High School,Unemployed,5,111036,462,0.4,33810,24,10.86,0,Other,Yes,2,Approved,High
41,41,Male,Married,Bachelor,Self-employed,6,107954,740,0.27,14718,48,14.66,4,Business,Yes,3,Approved,Low
42,29,Female,Married,PhD,Retired,31,139277,488,0.37,5028,24,10.09,3,Car,No,1,Rejected,Low
43,59,Female,Married,High School,Self-employed,31,54314,714,0.12,22397,72,4,0,Car,Yes,2,Approved,Low
44,38,Female,Widowed,Bachelor,Self-employed,24,68225,638,0.47,48662,36,6.51,3,Business,Yes,3,Rejected,High
45,24,Female,Divorced,PhD,Self-employed,32,107985,480,0.32,46787,36,13.35,2,Home,Yes,0,Rejected,Medium
46,45,Male,Single,High School,Retired,6,103014,587,0.11,7024,72,5.41,2,Education,No,1,Rejected,Low
47,34,Female,Widowed,Master,Employed,11,55179,486,0.13,43607,36,10.1,2,Other,Yes,4,Rejected,Low
48,29,Male,Widowed,PhD,Retired,15,137305,437,0.29,18503,36,7.53,2,Other,Yes,0,Rejected,Medium
49,46,Male,Divorced,High School,Self-employed,15,132417,429,0.39,15303,60,5.1,1,Personal,Yes,5,Rejected,Low
50,22,Female,Divorced,PhD,Unemployed,35,45338,493,0.33,22138,48,12.67,2,Education,No,3,Approved,Medium
51,40,Male,Widowed,PhD,Unemployed,12,112435,615,0.41,30345,48,11.79,1,Personal,No,1,Rejected,Low
52,48,Male,Single,PhD,Self-employed,6,89681,443,0.34,34505,24,10.77,1,Other,No,1,Approved,Low
53,67,Male,Widowed,PhD,Unemployed,35,52101,315,0.43,6906,72,5.45,4,Education,Yes,0,Rejected,Medium
54,27,Male,Divorced,PhD,Self-employed,8,22775,601,0.21,45167,12,3.72,1,Car,No,1,Approved,Low
55,64,Female,Single,PhD,Unemployed,31,131497,722,0.16,12961,24,9.7,1,Home,Yes,3,Approved,Medium
56,28,Female,Divorced,High School,Retired,10,117183,544,0.4,31140,24,9.42,2,Car,No,0,Approved,Low
57,67,Female,Single,Master,Employed,7,65619,406,0.34,17031,24,4.85,1,Home,Yes,4,Rejected,Low
58,55,Female,Married,Bachelor,Employed,32,65838,387,0.11,20128,24,3.2,3,Business,No,0,Approved,High
59,34,Male,Divorced,PhD,Retired,22,141316,428,0.29,20663,48,3.51,2,Personal,Yes,0,Approved,Low
60,37,Male,Divorced,Bachelor,Retired,24,39539,640,0.15,39228,12,14.91,0,Personal,Yes,4,Rejected,Medium
61,56,Female,Widowed,High School,Self-employed,7,122274,303,0.37,20682,24,12.29,2,Business,No,5,Approved,Low
62,60,Female,Divorced,PhD,Self-employed,21,77124,626,0.3,20193,48,14.02,1,Education,Yes,3,Approved,Medium
63,24,Female,Divorced,Master,Self-employed,3,85149,709,0.41,33561,24,4.94,3,Business,No,5,Rejected,Medium
64,22,Male,Married,Bachelor,Unemployed,39,46616,605,0.5,48813,36,14.51,2,Other,No,5,Approved,Low
65,26,Female,Divorced,PhD,Self-employed,2,99655,524,0.25,12766,24,4.28,3,Business,Yes,5,Approved,Medium
66,62,Female,Married,High School,Retired,28,110695,647,0.58,34844,72,8.86,0,Home,Yes,2,Rejected,Medium
67,24,Female,Married,Master,Employed,28,74567,620,0.37,34432,72,12.87,0,Other,No,5,Approved,Low
68,49,Male,Married,Bachelor,Unemployed,33,57099,480,0.41,34504,24,6.87,4,Business,No,2,Approved,Low
69,38,Male,Married,Bachelor,Self-employed,33,95831,685,0.44,42146,60,7.81,4,Personal,No,4,Approved,Low
70,46,Male,Single,PhD,Unemployed,27,120246,407,0.43,45297,36,4.1,2,Car,Yes,3,Approved,Low
71,64,Male,Widowed,Master,Unemployed,12,81799,830,0.36,25858,12,4.04,4,Home,No,5,Rejected,Low
72,54,Male,Single,Master,Self-employed,14,140714,709,0.31,8071,24,10.24,3,Home,Yes,1,Rejected,Low
73,30,Male,Divorced,Master,Unemployed,22,110221,595,0.13,21939,12,10.94,4,Education,Yes,4,Rejected,Low
74,56,Male,Single,Master,Employed,25,134879,470,0.11,29931,36,12.22,3,Car,No,2,Rejected,Medium
75,34,Male,Single,High School,Retired,3,45479,630,0.28,49460,24,9.46,4,Home,No,3,Approved,Low
76,51,Female,Divorced,Master,Retired,25,66172,792,0.27,6040,60,10.57,4,Business,Yes,0,Rejected,High
77,68,Female,Divorced,Bachelor,Employed,39,119165,494,0.29,7686,48,2.67,4,Home,Yes,3,Rejected,Low
78,35,Male,Divorced,Bachelor,Unemployed,8,75863,311,0.17,17666,60,4.53,1,Home,Yes,3,Approved,Low
79,28,Male,Single,High School,Self-employed,4,62043,494,0.47,40321,60,14.81,1,Home,Yes,5,Approved,Medium
80,34,Female,Single,Bachelor,Unemployed,31,102569,789,0.53,6779,48,3.45,4,Education,No,5,Approved,Low
81,43,Male,Divorced,Bachelor,Employed,19,122438,481,0.57,18186,48,10.98,3,Home,Yes,2,Rejected,Low
82,60,Male,Widowed,Master,Unemployed,10,130107,615,0.35,21459,72,4.7,2,Home,No,2,Approved,Low
83,41,Male,Widowed,Bachelor,Retired,14,35408,329,0.45,25710,48,11.46,0,Education,No,5,Approved,Low
84,36,Female,Married,High School,Unemployed,31,142275,395,0.53,27219,24,11.32,1,Other,No,5,Approved,Low
85,65,Female,Divorced,Master,Employed,27,77980,680,0.31,10057,12,5.43,4,Car,Yes,1,Rejected,High
86,38,Female,Married,PhD,Retired,21,102956,743,0.25,23733,72,5.87,0,Other,Yes,1,Rejected,Low
87,67,Female,Widowed,Master,Unemployed,16,36351,597,0.57,24157,72,10.68,1,Personal,No,4,Rejected,Medium
88,44,Female,Married,High School,Unemployed,25,24131,660,0.36,40030,12,7.38,2,Education,No,5,Rejected,Medium
89,46,Male,Divorced,Master,Retired,6,136836,673,0.35,24613,72,4.93,3,Education,No,0,Rejected,Low
90,45,Female,Divorced,Master,Self-employed,25,64825,602,0.19,48076,48,11.65,4,Home,No,1,Rejected,Low
91,65,Male,Divorced,High School,Retired,24,31349,720,0.15,22492,60,4.43,2,Home,Yes,2,Rejected,Medium
92,61,Male,Single,Master,Self-employed,9,80931,545,0.52,25746,36,13.2,1,Personal,No,3,Approved,Medium
93,49,Female,Married,High School,Employed,18,64254,536,0.41,10188,48,8.93,4,Home,Yes,4,Approved,Low
94,35,Female,Widowed,High School,Employed,10,58225,833,0.26,46570,60,3.82,0,Business,Yes,1,Approved,Low
95,65,Male,Widowed,PhD,Retired,12,124383,484,0.2,34680,60,11.18,3,Home,Yes,3,Rejected,Low
96,21,Male,Widowed,Bachelor,Retired,7,32453,767,0.38,42825,72,8.99,1,Home,Yes,3,Rejected,Low
97,45,Male,Single,Bachelor,Employed,39,38814,662,0.39,41766,24,6.23,3,Business,No,1,Approved,Low
98,27,Female,Single,Master,Self-employed,3,38263,582,0.2,13864,24,7.78,4,Personal,Yes,0,Approved,Medium
99,29,Female,Divorced,Master,Employed,30,97694,635,0.53,41445,72,6.23,2,Business,No,0,Rejected,Low
100,44,Female,Widowed,PhD,Retired,27,35735,461,0.14,10796,72,5.79,3,Education,Yes,4,Rejected,Medium
101,21,Female,Single,PhD,Employed,10,35830,459,0.28,44131,12,4.55,0,Business,No,0,Rejected,Medium
102,64,Female,Divorced,PhD,Retired,0,67893,773,0.44,13123,12,7.03,1,Car,No,4,Rejected,Low
103,28,Male,Widowed,High School,Retired,37,64673,621,0.24,13222,36,5.64,0,Education,No,2,Rejected,Low
104,44,Female,Married,PhD,Employed,23,147006,311,0.51,29074,36,11.04,3,Home,No,1,Rejected,Medium
105,31,Male,Divorced,PhD,Self-employed,30,109462,723,0.47,34825,36,11.05,2,Education,No,3,Rejected,Medium
106,37,Male,Single,Master,Unemployed,25,65066,372,0.49,41839,36,8.77,2,Personal,Yes,4,Rejected,Medium
107,28,Male,Single,PhD,Employed,4,120315,500,0.16,46576,60,12.22,0,Personal,No,0,Approved,Low
108,55,Female,Divorced,High School,Unemployed,19,23373,821,0.17,7786,60,13.02,4,Business,Yes,4,Rejected,Low
109,55,Female,Divorced,High School,Employed,10,30335,804,0.24,38638,12,9.75,4,Education,No,5,Rejected,Low
110,53,Female,Single,Master,Unemployed,32,43741,338,0.36,41964,24,10.24,2,Home,Yes,4,Rejected,Low
111,25,Male,Married,PhD,Self-employed,37,30692,359,0.47,49564,72,6.04,0,Personal,Yes,0,Approved,Medium
112,62,Male,Widowed,PhD,Self-employed,26,67295,620,0.52,30988,24,13.69,0,Other,Yes,5,Approved,Low
113,59,Male,Married,High School,Employed,33,65541,734,0.45,40507,48,2.8,0,Home,No,5,Rejected,Medium
114,61,Male,Divorced,PhD,Retired,14,54057,707,0.56,38708,60,6.86,3,Other,Yes,0,Approved,Low
115,48,Male,Married,PhD,Unemployed,31,86983,685,0.47,38108,36,11.52,4,Car,No,5,Approved,Medium
116,27,Male,Single,PhD,Retired,20,39583,377,0.25,34715,36,3.5,4,Other,No,1,Approved,High
117,29,Female,Divorced,Bachelor,Retired,4,42765,493,0.23,28806,48,4.79,3,Personal,Yes,3,Rejected,Low
118,28,Female,Widowed,Master,Retired,5,79287,584,0.45,41901,24,9.87,1,Business,Yes,1,Rejected,High
119,32,Female,Single,Bachelor,Self-employed,37,43906,826,0.2,22043,36,9.5,3,Car,No,1,Rejected,Low
120,54,Female,Single,Master,Employed,21,140747,823,0.15,15225,24,11.74,0,Education,No,0,Rejected,Low
121,53,Male,Widowed,High School,Employed,17,105103,455,0.37,14752,72,12.66,3,Home,No,0,Rejected,Medium
122,68,Male,Widowed,PhD,Self-employed,13,99675,639,0.51,8457,48,4.11,0,Personal,No,3,Rejected,High
123,43,Female,Married,Master,Self-employed,9,66525,424,0.15,47616,24,2.73,2,Car,No,4,Rejected,Low
124,44,Male,Divorced,Bachelor,Employed,12,58230,579,0.5,14241,72,11.12,0,Car,No,1,Approved,Low
125,57,Female,Widowed,PhD,Retired,30,137904,427,0.51,5453,24,6.27,4,Personal,Yes,5,Rejected,Medium
126,55,Female,Widowed,High School,Unemployed,29,39520,613,0.34,14896,24,10.32,3,Education,No,3,Rejected,Medium
127,64,Female,Divorced,Master,Unemployed,2,105238,631,0.13,26826,36,4.38,0,Education,No,1,Rejected,Low
128,60,Male,Widowed,Master,Unemployed,29,71934,449,0.19,15976,12,8.36,1,Business,Yes,4,Rejected,Medium
129,42,Female,Widowed,Master,Retired,5,45566,753,0.45,38586,60,8.81,2,Other,Yes,5,Rejected,Low
130,47,Female,Married,PhD,Employed,28,93193,335,0.46,9868,24,9.81,1,Education,Yes,1,Rejected,Low
131,55,Female,Single,Bachelor,Self-employed,7,123224,719,0.55,21396,24,8.91,1,Business,No,2,Rejected,Low
132,21,Male,Single,Bachelor,Employed,32,50134,321,0.39,36634,24,8.7,1,Other,Yes,3,Rejected,Low
133,55,Male,Single,Master,Retired,16,30345,505,0.16,17171,12,6.66,2,Car,Yes,0,Approved,High
134,57,Female,Single,High School,Self-employed,10,141012,655,0.16,29111,72,3.39,2,Personal,No,1,Approved,Low
135,67,Male,Widowed,High School,Retired,12,141015,739,0.46,38688,48,3.62,2,Education,No,5,Rejected,High
136,34,Male,Divorced,Bachelor,Unemployed,10,61185,395,0.19,26304,36,7.92,2,Business,No,5,Rejected,Low
137,23,Male,Divorced,High School,Unemployed,30,135464,463,0.26,47274,12,6.95,1,Car,No,3,Approved,Medium
138,21,Male,Married,Bachelor,Retired,27,112949,447,0.34,44243,72,8.95,4,Education,Yes,3,Rejected,Medium
139,25,Male,Married,Master,Self-employed,5,90744,829,0.11,33253,24,6.31,4,Home,No,5,Rejected,Medium
140,46,Male,Widowed,Bachelor,Self-employed,15,53455,593,0.22,35980,72,11.1,2,Car,Yes,5,Approved,Medium
141,34,Male,Divorced,Bachelor,Employed,3,135217,494,0.3,7017,12,13.3,3,Education,No,5,Rejected,Low
142,59,Male,Divorced,Master,Unemployed,34,48018,779,0.24,12957,12,6.24,0,Car,Yes,1,Rejected,Medium
143,47,Male,Single,High School,Employed,25,74219,422,0.17,47188,12,4.91,3,Personal,No,5,Rejected,Medium
144,29,Male,Widowed,Bachelor,Employed,11,65991,699,0.46,9792,48,3.95,3,Personal,No,0,Approved,Low
145,35,Female,Widowed,Bachelor,Retired,10,93616,751,0.51,18237,60,10.2,3,Personal,No,5,Approved,Medium
146,35,Female,Single,Master,Retired,36,107438,403,0.23,21251,36,8.05,4,Other,Yes,0,Rejected,Low
147,46,Male,Widowed,High School,Employed,24,136841,761,0.49,24252,48,4.85,0,Home,Yes,1,Approved,Low
148,62,Female,Widowed,Bachelor,Unemployed,17,29486,695,0.29,15707,48,10.66,3,Personal,Yes,3,Approved,Medium
149,33,Female,Married,Master,Retired,18,58862,636,0.35,39206,60,4.36,2,Home,No,0,Approved,Low
150,52,Male,Divorced,Bachelor,Employed,22,141662,441,0.53,33740,48,9.43,4,Personal,Yes,1,Rejected,Medium
151,59,Male,Widowed,PhD,Employed,37,78870,616,0.47,8543,12,9.09,2,Other,No,5,Approved,Low
152,69,Male,Married,Master,Employed,17,106694,826,0.5,49135,12,11.68,2,Car,No,1,Approved,Low
153,52,Female,Divorced,High School,Employed,25,125996,700,0.17,44111,72,3.19,3,Education,No,5,Approved,Low
154,24,Female,Single,High School,Employed,5,63856,609,0.13,40031,24,13.6,2,Education,Yes,1,Rejected,Low
155,50,Male,Married,High School,Employed,3,121407,794,0.55,47929,48,11.29,0,Personal,No,3,Approved,Medium
156,57,Male,Married,High School,Retired,28,120744,408,0.29,5211,24,5.2,2,Education,Yes,0,Approved,Low
157,43,Male,Divorced,Bachelor,Unemployed,33,106055,671,0.24,44795,36,4.79,3,Personal,No,3,Rejected,Low
158,59,Female,Single,Bachelor,Employed,16,51379,505,0.46,5331,12,7.9,2,Personal,No,2,Approved,Low
159,65,Female,Married,High School,Self-employed,15,84729,342,0.52,28244,72,12.72,4,Business,No,5,Approved,Low
160,35,Female,Widowed,High School,Retired,1,48378,544,0.53,13169,36,13.04,4,Business,Yes,0,Approved,Medium
161,63,Female,Widowed,High School,Retired,33,125428,586,0.26,27104,72,9.01,4,Business,Yes,3,Rejected,Low
162,49,Male,Widowed,Bachelor,Employed,7,74353,654,0.53,46901,60,13.26,1,Home,No,0,Rejected,Medium
163,56,Male,Single,High School,Retired,12,69996,775,0.12,19591,12,2.57,4,Business,Yes,2,Approved,High
164,33,Male,Married,High School,Employed,7,34031,382,0.12,36711,36,2.94,4,Personal,Yes,4,Approved,Medium
165,52,Male,Widowed,PhD,Unemployed,29,100072,409,0.41,5727,60,13.9,1,Other,No,5,Approved,Medium
166,27,Female,Single,PhD,Unemployed,31,85982,489,0.13,26359,36,12.19,4,Other,No,5,Approved,Low
167,42,Female,Widowed,High School,Retired,35,56683,550,0.26,48822,72,8.13,3,Car,Yes,1,Approved,Low
168,48,Male,Divorced,Master,Retired,29,134091,590,0.44,41011,60,11.92,4,Business,No,5,Approved,Medium
169,22,Male,Married,High School,Self-employed,0,137797,500,0.27,42863,60,14.45,4,Other,No,5,Rejected,Medium
170,62,Female,Married,PhD,Retired,38,37618,625,0.19,27998,12,12.15,1,Business,Yes,3,Approved,Medium
171,65,Male,Single,Master,Self-employed,16,26587,810,0.24,15929,24,13.03,3,Car,Yes,5,Approved,Medium
172,26,Female,Single,Master,Unemployed,19,82790,708,0.33,19842,72,12.01,2,Other,No,5,Approved,Low
173,48,Male,Married,High School,Unemployed,23,51480,807,0.34,28519,72,4.6,0,Personal,Yes,2,Rejected,Low
174,48,Male,Widowed,PhD,Employed,21,118530,371,0.49,22393,60,12.92,3,Home,Yes,2,Approved,Medium
175,64,Male,Widowed,PhD,Unemployed,28,40527,546,0.48,39318,60,4.94,2,Business,No,0,Rejected,Medium
176,64,Male,Divorced,Master,Self-employed,21,43569,643,0.33,13995,12,13.66,3,Other,No,0,Approved,Low
177,40,Male,Widowed,High School,Retired,8,31151,353,0.52,33656,24,8.23,2,Other,No,5,Approved,Medium
178,50,Male,Single,Bachelor,Employed,36,91094,827,0.16,45260,72,10.96,2,Car,No,5,Approved,Low
179,31,Male,Single,Bachelor,Self-employed,9,79174,831,0.23,20567,48,8.72,3,Personal,Yes,1,Approved,Low
180,48,Female,Widowed,PhD,Retired,35,64739,492,0.51,33840,48,3.67,1,Education,Yes,0,Approved,Medium
181,45,Female,Single,Bachelor,Employed,36,52954,357,0.29,28831,24,6.13,3,Other,No,3,Approved,Medium
182,59,Female,Married,PhD,Unemployed,27,132984,736,0.59,18265,36,14.8,3,Home,No,5,Rejected,Low
183,53,Female,Married,PhD,Self-employed,27,132863,410,0.33,10424,12,14.51,2,Car,No,3,Approved,Low
184,21,Female,Widowed,PhD,Retired,20,129373,428,0.5,25625,24,6.51,0,Other,No,5,Approved,Low
185,47,Male,Married,Bachelor,Employed,23,55303,625,0.3,19086,48,14.95,2,Other,Yes,3,Approved,Medium
186,33,Male,Married,PhD,Employed,39,54700,307,0.31,34187,60,13.07,4,Car,Yes,4,Rejected,Low
187,61,Female,Divorced,Master,Unemployed,1,113036,328,0.29,40929,48,10.14,3,Car,No,3,Approved,Medium
188,23,Male,Divorced,High School,Retired,7,143728,411,0.46,25539,60,3,3,Business,No,0,Rejected,High
189,59,Female,Married,High School,Unemployed,26,87568,430,0.37,30103,12,13.77,1,Other,Yes,5,Approved,Medium
190,26,Female,Widowed,PhD,Unemployed,21,86788,487,0.57,32874,60,9.47,2,Education,Yes,0,Approved,Low
191,28,Male,Divorced,High School,Retired,36,91045,774,0.23,14215,24,13.36,1,Home,Yes,3,Rejected,Medium
192,47,Male,Single,Bachelor,Retired,26,57842,663,0.15,44385,60,12.93,3,Personal,Yes,2,Rejected,Low
193,29,Male,Single,Bachelor,Retired,28,33900,503,0.3,27044,36,12.91,2,Personal,No,2,Approved,Low
194,57,Female,Single,High School,Self-employed,2,147992,511,0.41,16926,24,11.23,2,Education,Yes,2,Rejected,Low
195,53,Male,Widowed,Bachelor,Retired,12,100059,575,0.53,36501,12,6.14,4,Car,Yes,5,Rejected,Low
196,62,Female,Married,High School,Employed,9,21881,372,0.27,34774,24,6.7,4,Car,Yes,1,Approved,High
197,64,Female,Single,High School,Unemployed,35,53037,542,0.43,30008,36,6.36,0,Car,No,4,Approved,Low
198,44,Female,Widowed,High School,Self-employed,8,21630,401,0.28,22560,12,2.75,4,Other,No,3,Approved,Low
199,35,Male,Divorced,PhD,Retired,26,40789,470,0.41,29340,48,9.78,2,Car,Yes,1,Rejected,High
200,52,Male,Married,High School,Self-employed,33,146083,487,0.54,29976,36,11.24,4,Car,Yes,2,Approved,Low
201,52,Female,Divorced,PhD,Retired,0,108059,740,0.22,32626,12,13.17,0,Other,No,3,Approved,Medium
202,44,Male,Widowed,High School,Self-employed,31,103494,385,0.3,37720,60,4.25,3,Other,No,1,Rejected,Low
203,61,Male,Single,High School,Unemployed,24,66151,775,0.6,40001,24,9.3,4,Education,Yes,0,Rejected,Low
204,69,Male,Single,High School,Unemployed,28,68920,351,0.53,9700,12,2.6,2,Business,No,2,Approved,High
205,69,Female,Widowed,Bachelor,Employed,6,129388,410,0.38,48795,24,3.69,3,Other,Yes,1,Rejected,Low
206,32,Female,Single,PhD,Employed,2,87231,342,0.36,12860,60,3.18,2,Home,No,5,Rejected,Low
207,59,Male,Married,PhD,Retired,19,137946,510,0.24,12526,12,11.57,3,Car,Yes,0,Rejected,Low
208,22,Female,Widowed,High School,Unemployed,19,100357,499,0.36,43327,48,3.51,2,Business,Yes,2,Approved,Low
209,23,Male,Divorced,High School,Self-employed,29,23262,325,0.52,44500,36,11.46,4,Personal,No,4,Approved,Low
210,69,Male,Widowed,Bachelor,Self-employed,34,86981,598,0.44,7513,12,5.62,4,Education,Yes,2,Approved,Low
211,57,Male,Married,Bachelor,Self-employed,34,140951,376,0.25,12830,60,13.47,0,Business,No,5,Rejected,Low
212,69,Male,Married,Bachelor,Employed,38,143099,436,0.2,19781,12,12.66,3,Other,No,4,Approved,Medium
213,37,Female,Widowed,PhD,Self-employed,26,101972,319,0.23,12910,24,14.47,0,Car,No,4,Approved,Low
214,69,Female,Widowed,PhD,Employed,25,95485,739,0.18,20847,72,13.55,1,Car,Yes,4,Rejected,Low
215,22,Female,Single,PhD,Employed,13,74722,510,0.15,10649,12,14.17,4,Car,Yes,3,Rejected,Low
216,22,Male,Married,High School,Retired,16,109499,734,0.31,14120,48,13.23,3,Business,Yes,3,Approved,High
217,48,Male,Widowed,PhD,Self-employed,17,70818,506,0.16,6951,12,11.17,0,Car,No,4,Rejected,High
218,43,Male,Widowed,Master,Self-employed,28,49932,738,0.19,15165,36,4.63,0,Other,Yes,0,Approved,Medium
219,57,Female,Married,Master,Unemployed,19,26901,341,0.37,19352,12,5.9,1,Business,Yes,4,Approved,Medium
220,52,Male,Widowed,Bachelor,Retired,26,137473,710,0.18,14746,72,5.16,0,Car,Yes,1,Approved,Low
221,53,Female,Single,PhD,Unemployed,17,119023,822,0.13,48738,24,10.04,2,Personal,Yes,4,Rejected,Low
222,21,Female,Married,Master,Retired,3,28597,726,0.26,33997,12,8.8,4,Personal,No,3,Rejected,Medium
223,39,Female,Single,Bachelor,Self-employed,0,149631,574,0.21,46954,48,13.34,0,Home,Yes,3,Approved,Medium
224,22,Female,Single,PhD,Employed,0,83909,747,0.36,29183,60,14.41,0,Car,No,1,Approved,Low
225,64,Female,Single,High School,Employed,25,92391,668,0.15,13804,12,7.56,1,Car,No,1,Approved,Low
226,46,Female,Single,Master,Employed,19,104214,519,0.48,32169,12,8.83,2,Business,No,2,Approved,High
227,52,Male,Married,High School,Employed,22,28263,531,0.55,5595,36,14.64,0,Business,No,0,Rejected,Medium
228,26,Male,Single,PhD,Employed,9,83293,627,0.47,34592,48,5.95,4,Car,Yes,0,Approved,Low
229,52,Female,Single,Master,Unemployed,10,132824,742,0.37,45643,72,12.4,4,Home,Yes,0,Approved,Medium
230,24,Female,Widowed,PhD,Retired,4,144933,351,0.53,25823,60,5.32,0,Car,Yes,5,Rejected,Low
231,31,Male,Married,High School,Self-employed,0,45805,675,0.45,10972,24,11.02,2,Other,No,3,Approved,Low
232,37,Female,Married,Master,Unemployed,16,111679,562,0.11,20882,12,5.67,4,Business,Yes,0,Approved,Low
233,58,Female,Divorced,High School,Retired,21,31874,566,0.3,5858,72,13.55,4,Car,No,2,Approved,Low
234,44,Male,Married,PhD,Employed,33,113065,658,0.53,10519,60,9.52,2,Business,Yes,2,Approved,Low
235,25,Female,Married,PhD,Retired,28,106402,616,0.27,28769,24,4.82,2,Car,Yes,0,Approved,Medium
236,54,Female,Divorced,High School,Retired,3,34079,623,0.12,30020,72,5.3,0,Education,Yes,1,Rejected,Low
237,26,Female,Married,Master,Employed,4,69850,720,0.47,47748,48,8.67,3,Business,No,2,Rejected,Low
